Company,Supersector,Country,Weight
NESTLE,Food & Beverage,Switzerland,3.73
ROCHE HLDG P,Health Care,Switzerland,2.79
NOVARTIS,Health Care,Switzerland,2.36
SAP,Technology,Germany,1.85
ASML HLDG,Technology,Netherlands,1.64
ASTRAZENECA,Health Care,Great Britain,1.56
LINDE,Chemicals,Germany,1.44
LVMH MOET HENNESSY,Personal & Household Goods,France,1.37
SANOFI,Health Care,France,1.25
NOVO NORDISK B,Health Care,Denmark,1.23
SIEMENS,Industrial Goods & Services,Germany,1.1
GLAXOSMITHKLINE,Health Care,Great Britain,1.04
TOTAL,Oil & Gas,France,1.01
ALLIANZ,Insurance,Germany,0.93
UNILEVER NV,Personal & Household Goods,Netherlands,0.87
HSBC,Banks,Great Britain,0.86
L'OREAL,Personal & Household Goods,France,0.84
BRITISH AMERICAN TOBACCO,Personal & Household Goods,Great Britain,0.83
AIR LIQUIDE,Chemicals,France,0.82
DIAGEO,Food & Beverage,Great Britain,0.82
IBERDROLA,Utilities,Spain,0.77
UNILEVER PLC,Personal & Household Goods,Great Britain,0.75
RECKITT BENCKISER GRP,Personal & Household Goods,Great Britain,0.75
RIO TINTO,Basic Resources,Great Britain,0.73
SCHNEIDER ELECTRIC,Industrial Goods & Services,France,0.72
ENEL,Utilities,Italy,0.72
BAYER,Health Care,Germany,0.7
BP,Oil & Gas,Great Britain,0.68
ADIDAS,Personal & Household Goods,Germany,0.64
BASF,Chemicals,Germany,0.62
DEUTSCHE TELEKOM,Telecommunications,Germany,0.6
ZURICH INSURANCE GROUP,Insurance,Switzerland,0.6
ROYAL DUTCH SHELL A,Oil & Gas,Great Britain,0.59
Kering,Retail,France,0.55
VINCI,Construction & Materials,France,0.53
ANHEUSER-BUSCH INBEV,Food & Beverage,Belgium,0.51
BHP GROUP PLC.,Basic Resources,Great Britain,0.51
BNP PARIBAS,Banks,France,0.5
ADYEN,Industrial Goods & Services,Netherlands,0.5
AIRBUS,Industrial Goods & Services,France,0.5
LONZA,Health Care,Switzerland,0.49
ABB,Industrial Goods & Services,Switzerland,0.49
RELX PLC,Media,Great Britain,0.49
DEUTSCHE POST,Industrial Goods & Services,Germany,0.48
DAIMLER,Automobiles & Parts,Germany,0.48
DANONE,Food & Beverage,France,0.46
UBS GROUP,Financial Services,Switzerland,0.45
PHILIPS,Health Care,Netherlands,0.45
Prosus,Technology,Netherlands,0.44
AXA,Insurance,France,0.43
SAFRAN,Industrial Goods & Services,France,0.42
MUENCHENER RUECK,Insurance,Germany,0.42
PRUDENTIAL,Insurance,Great Britain,0.42
ESSILORLUXOTTICA,Health Care,France,0.41
NATIONAL GRID,Utilities,Great Britain,0.41
VODAFONE GRP,Telecommunications,Great Britain,0.39
EXPERIAN,Industrial Goods & Services,Great Britain,0.39
INTESA SANPAOLO,Banks,Italy,0.39
LONDON STOCK EXCHANGE,Financial Services,Great Britain,0.39
